iter	Passed	Remaining
415	5096	7154
416	5097	7126
417	5099	7099
418	5100	7072
419	5101	7045
420	5103	7018
421	5104	6991
422	5105	6964
423	5107	6938
424	5108	6911
425	5110	6885
426	5111	6859
427	5112	6833
428	5114	6806
429	5115	6780
430	5116	6754
431	5118	6729
432	5119	6703
433	5120	6678
434	5121	6652
435	5123	6627
436	5124	6602
437	5125	6576
438	5126	6551
439	5128	6527
440	5129	6502
441	5130	6477
442	5132	6452
443	5133	6428
444	5134	6403
445	5135	6379
446	5137	6355
447	5138	6331
448	5139	6307
449	5141	6283
450	5142	6259
451	5143	6236
452	5144	6212
453	5146	6189
454	5147	6165
455	5148	6142
456	5150	6119
457	5151	6096
458	5152	6073
459	5153	6050
460	5155	6027
461	5156	6004
462	5157	5982
463	5159	5959
464	5160	5937
465	5161	5915
466	5163	5892
467	5164	5870
468	5165	5848
469	5167	5826
470	5168	5804
471	5169	5782
472	5170	5761
473	5172	5739
474	5173	5718
475	5174	5696
476	5175	5675
477	5177	5653
478	5178	5632
479	5179	5611
480	5181	5590
481	5182	5569
482	5183	5548
483	5184	5527
484	5186	5506
485	5187	5486
486	5188	5465
487	5189	5445
488	5191	5424
489	5192	5404
490	5193	5384
491	5194	5363
492	5196	5343
493	5197	5323
494	5198	5303
495	5200	5283
496	5201	5264
497	5202	5244
498	5204	5224
499	5205	5205
500	5206	5185
501	5207	5166
502	5209	5147
503	5210	5127
504	5211	5108
505	5212	5089
506	5214	5070
507	5215	5051
508	5216	5032
509	5217	5013
510	5219	4994
511	5220	4976
512	5222	4957
513	5223	4938
514	5224	4920
515	5226	4901
516	5227	4883
517	5228	4865
518	5229	4847
519	5231	4828
520	5232	4810
521	5233	4792
522	5235	4774
523	5236	4756
524	5237	4738
525	5239	4721
526	5240	4703
527	5241	4685
528	5242	4668
529	5244	4650
530	5245	4633
531	5246	4615
532	5248	4598
533	5249	4580
534	5250	4563
535	5251	4546
536	5253	4529
537	5254	4512
538	5255	4495
539	5257	4478
540	5258	4461
541	5259	4444
542	5260	4427
543	5262	4410
544	5263	4394
545	5265	4377
546	5266	4361
547	5267	4344
548	5268	4328
549	5270	4311
550	5271	4295
551	5272	4279
552	5274	4263
553	5275	4246
554	5276	4230
555	5277	4214
556	5279	4198
557	5280	4182
558	5281	4166
559	5283	4151
560	5284	4135
561	5285	4119
562	5287	4103
563	5288	4088
564	5289	4072
565	5290	4056
566	5292	4041
567	5293	4026
568	5294	4010
569	5296	3995
570	5297	3980
571	5298	3964
572	5300	3949
573	5301	3934
574	5302	3919
575	5303	3904
576	5305	3889
577	5306	3874
578	5308	3859
579	5309	3844
580	5310	3829
581	5312	3815
582	5313	3800
583	5314	3785
584	5315	3771
585	5317	3756
586	5318	3742
587	5319	3727
588	5321	3713
589	5322	3698
590	5323	3684
591	5325	3670
592	5326	3655
593	5327	3641
594	5328	3627
595	5330	3613
596	5331	3598
597	5332	3584
598	5334	3570
599	5335	3557
600	5336	3543
601	5338	3529
602	5339	3515
603	5340	3501
604	5342	3487
605	5343	3474
606	5344	3460
607	5345	3446
608	5347	3433
609	5348	3419
610	5349	3406
611	5351	3392
612	5352	3379
613	5354	3365
614	5355	3352
615	5356	3339
616	5358	3326
617	5359	3312
618	5360	3299
619	5362	3286
620	5363	3273
621	5365	3260
622	5366	3247
623	5368	3234
624	5369	3221
625	5371	3208
626	5372	3196
627	5373	3183
628	5375	3170
629	5376	3157
630	5378	3145
631	5379	3132
632	5380	3119
633	5381	3106
634	5383	3094
635	5384	3081
636	5386	3069
637	5387	3057
638	5389	3044
639	5390	3032
640	5391	3019
641	5393	3007
642	5394	2995
643	5395	2982
644	5397	2970
645	5398	2958
646	5399	2946
647	5401	2933
648	5402	2921
649	5403	2909
650	5405	2897
651	5406	2885
652	5407	2873
653	5409	2861
654	5410	2849
655	5411	2837
656	5413	2826
657	5414	2814
658	5415	2802
659	5417	2790
660	5418	2779
661	5420	2767
662	5421	2755
663	5422	2744
664	5424	2732
665	5425	2720
666	5426	2709
667	5428	2697
668	5429	2686
669	5430	2674
670	5432	2663
671	5433	2652
672	5435	2640
673	5436	2629
674	5438	2618
675	5439	2607
676	5440	2595
677	5442	2584
678	5443	2573
679	5445	2562
680	5446	2551
681	5447	2540
682	5449	2529
683	5450	2518
684	5452	2507
685	5453	2496
686	5454	2485
687	5456	2474
688	5457	2463
689	5458	2452
690	5459	2441
691	5461	2430
692	5462	2420
693	5464	2409
694	5465	2398
695	5466	2387
696	5468	2377
697	5469	2366
698	5470	2355
699	5472	2345
700	5473	2334
701	5474	2324
702	5476	2313
703	5477	2303
704	5478	2292
705	5480	2282
706	5481	2271
707	5482	2261
708	5484	2250
709	5485	2240
710	5486	2230
711	5488	2219
712	5489	2209
713	5490	2199
714	5491	2189
715	5493	2178
716	5494	2168
717	5496	2158
718	5497	2148
719	5498	2138
720	5500	2128
721	5501	2118
722	5502	2108
723	5504	2098
724	5505	2088
725	5506	2078
726	5508	2068
727	5509	2058
728	5510	2048
729	5512	2038
730	5513	2028
731	5514	2019
732	5516	2009
733	5517	1999
734	5518	1989
735	5520	1980
736	5521	1970
737	5523	1960
738	5524	1951
739	5525	1941
740	5527	1931
741	5528	1922
742	5529	1912
743	5531	1903
744	5532	1893
745	5533	1884
746	5535	1874
747	5536	1865
748	5537	1855
749	5539	1846
750	5540	1836
751	5541	1827
752	5543	1818
753	5544	1809
754	5546	1799
755	5547	1790
756	5548	1781
757	5549	1771
758	5551	1762
759	5552	1753
760	5553	1744
761	5555	1735
762	5556	1725
763	5557	1716
764	5559	1707
765	5560	1698
766	5561	1689
767	5563	1680
768	5564	1671
769	5566	1662
770	5567	1653
771	5568	1644
772	5570	1635
773	5571	1626
774	5572	1617
775	5574	1609
776	5575	1600
777	5576	1591
778	5578	1582
779	5579	1573
780	5580	1564
781	5582	1556
782	5583	1547
783	5584	1538
784	5586	1529
785	5587	1521
786	5588	1512
787	5590	1503
788	5591	1495
789	5592	1486
790	5594	1478
791	5595	1469
792	5596	1460
793	5598	1452
794	5599	1443
795	5600	1435
796	5602	1426
797	5603	1418
798	5604	1410
799	5606	1401
800	5607	1393
801	5609	1384
802	5610	1376
803	5611	1368
804	5613	1359
805	5614	1351
806	5615	1343
807	5617	1334
808	5618	1326
809	5619	1318
810	5621	1309
811	5622	1301
812	5623	1293
813	5625	1285
814	5626	1277
815	5627	1269
816	5629	1260
817	5630	1252
818	5631	1244
819	5633	1236
820	5634	1228
821	5635	1220
822	5637	1212
823	5638	1204
824	5639	1196
825	5641	1188
826	5642	1180
827	5643	1172
828	5645	1164
829	5646	1156
830	5647	1148
831	5649	1140
832	5650	1132
833	5651	1124
834	5653	1117
835	5654	1109
836	5655	1101
837	5656	1093
838	5658	1085
839	5659	1078
840	5660	1070
841	5662	1062
842	5663	1054
843	5664	1047
844	5666	1039
845	5667	1031
846	5668	1023
847	5670	1016
848	5671	1008
849	5672	1001
850	5674	993
851	5675	985
852	5676	978
853	5678	970
854	5679	963
855	5681	955
856	5682	948
857	5683	940
858	5685	933
859	5686	925
860	5687	918
861	5689	910
862	5690	903
863	5691	895
864	5693	888
865	5694	881
866	5696	873
867	5697	866
868	5699	859
869	5700	851
870	5701	844
871	5703	837
872	5704	829
873	5706	822
874	5707	815
875	5708	808
876	5709	800
877	5711	793
878	5712	786
879	5713	779
880	5715	771
881	5716	764
882	5718	757
883	5719	750
884	5720	743
885	5722	736
886	5723	729
887	5724	722
888	5726	714
889	5727	707
890	5728	700
891	5730	693
892	5731	686
893	5733	679
894	5734	672
895	5735	665
896	5737	658
897	5738	651
898	5740	644
899	5741	637
900	5742	631
901	5744	624
902	5745	617
903	5747	610
904	5748	603
905	5749	596
906	5751	589
907	5752	582
908	5753	576
909	5755	569
910	5756	562
911	5757	555
912	5759	548
913	5760	542
914	5761	535
915	5763	528
916	5764	521
917	5766	515
918	5767	508
919	5768	501
920	5770	494
921	5771	488
922	5773	481
923	5774	474
924	5776	468
925	5777	461
926	5779	455
927	5780	448
928	5782	441
929	5783	435
930	5785	428
931	5786	422
932	5787	415
933	5789	409
934	5790	402
935	5791	396
936	5793	389
937	5794	383
938	5795	376
939	5797	370
940	5798	363
941	5800	357
942	5801	350
943	5802	344
944	5804	337
945	5805	331
946	5807	325
947	5808	318
948	5809	312
949	5811	305
950	5812	299
951	5813	293
952	5815	286
953	5816	280
954	5818	274
955	5819	267
956	5820	261
957	5822	255
958	5823	248
959	5824	242
960	5826	236
961	5827	230
962	5829	223
963	5830	217
964	5831	211
965	5833	205
966	5834	199
967	5835	192
968	5837	186
969	5838	180
970	5839	174
971	5841	168
972	5842	162
973	5843	155
974	5845	149
975	5846	143
976	5847	137
977	5849	131
978	5850	125
979	5851	119
980	5853	113
981	5854	107
982	5855	101
983	5857	95
984	5858	89
985	5859	83
986	5861	77
987	5862	71
988	5863	65
989	5865	59
990	5866	53
991	5868	47
992	5869	41
993	5870	35
994	5872	29
995	5873	23
996	5874	17
997	5876	11
998	5877	5
999	5878	0
